surface,region,path_id,grid_points,mu_MnOH2_min_eV,mu_MnOH2_max_eV,mu_H2O_min_eV,mu_H2O_max_eV,states,mechanisms
011,R019,P06779,6,-2.45,-2.25,-1.15,-1.05,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322 -> S323 -> S423 -> S433 -> S543 -> S544 -> S644,SR -> OL -> SR -> OL -> C -> OX -> SR -> OL -> C -> OX -> SR -> OL
011,R020,P06974,1,-2.6,-2.6,-1.25,-1.25,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322 -> S432 -> S433 -> S543 -> S544 -> S644,SR -> OL -> SR -> OL -> C -> OX -> OX -> SR -> OX -> SR -> OL
011,R021,P07811,1,-3.3,-3.3,-1.3,-1.3,S000 -> S001 -> S101 -> S102 -> S212 -> S222 -> S322 -> S323 -> S423 -> S424 -> S534 -> S544 -> S644,SR -> OL -> SR -> OX -> C -> OL -> SR -> OL -> SR -> OX -> C -> OL
011,R022,P08462,292,-4,-2.65,-2.45,-1.3,S000 -> S001 -> S101 -> S102 -> S212 -> S322 -> S323 -> S423 -> S424 -> S534 -> S544 -> S644,SR -> OL -> SR -> OX -> OX -> SR -> OL -> SR -> OX -> C -> OL
011,R023,P08477,18,-2.9,-2.3,-1.6,-1.1,S000 -> S001 -> S101 -> S102 -> S212 -> S322 -> S323 -> S423 -> S433 -> S543 -> S544 -> S644,SR -> OL -> SR -> OX -> OX -> SR -> OL -> C -> OX -> SR -> OL
011,R024,P08505,29,-4,-3.2,-2.55,-1.85,S000 -> S001 -> S101 -> S102 -> S212 -> S322 -> S323 -> S433 -> S434 -> S534 -> S544 -> S644,SR -> OL -> SR -> OX -> OX -> SR -> OX -> SR -> OL -> C -> OL
011,R025,P08508,49,-3.4,-2.1,-2.1,-1,S000 -> S001 -> S101 -> S102 -> S212 -> S322 -> S323 -> S433 -> S434 -> S544 -> S644,SR -> OL -> SR -> OX -> OX -> SR -> OX -> SR -> OX -> OL
011,R026,P08672,9,-4,-3.7,-2.65,-2.35,S000 -> S001 -> S101 -> S102 -> S212 -> S322 -> S432 -> S433 -> S543 -> S544 -> S644,SR -> OL -> SR -> OX -> OX -> OX -> SR -> OX -> SR -> OL
011,R027,P22549,135,-0.8,-0.7,-4,-1.75,S000 -> S001 -> S111 -> S211 -> S212 -> S322 -> S323 -> S324 -> S434 -> S534 -> S544 -> S644,SR -> OX -> OL -> SR -> OX -> SR -> SR -> OX -> OL -> C -> OL
011,R028,P22552,946,-2.95,-0.85,-4,-1.9,S000 -> S001 -> S111 -> S211 -> S212 -> S322 -> S323 -> S324 -> S434 -> S544 -> S644,SR -> OX -> OL -> SR -> OX -> SR -> SR -> OX -> OX -> OL
011,R029,P24279,212,-4,-2.1,-2.95,-1.1,S000 -> S001 -> S111 -> S221 -> S222 -> S322 -> S323 -> S433 -> S434 -> S544 -> S644,SR -> OX -> OX -> SR -> OL -> SR -> OX -> SR -> OX -> OL
011,R030,P24736,7,-0.8,-0.7,-0.25,0,S000 -> S100 -> S101 -> S102 -> S112 -> S212 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,OL -> SR -> SR -> C -> OL -> C -> OL -> SR -> OL -> SR -> C -> OL -> OX
011,R031,P24740,5,-0.65,-0.5,-0.05,0,S000 -> S100 -> S101 -> S102 -> S112 -> S212 -> S222 -> S322 -> S323 -> S423 -> S424 -> S524 -> S534 -> S644,OL -> SR -> SR -> C -> OL -> C -> OL -> SR -> OL -> SR -> OL -> C -> OX
011,R032,P24745,7,-0.7,-0.55,-0.2,-0.05,S000 -> S100 -> S101 -> S102 -> S112 -> S212 -> S222 -> S322 -> S323 -> S423 -> S424 -> S534 -> S644,OL -> SR -> SR -> C -> OL -> C -> OL -> SR -> OL -> SR -> OX -> OX
011,R033,P25897,9,-0.95,-0.75,-0.15,0,S000 -> S100 -> S101 -> S102 -> S202 -> S212 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,OL -> SR -> SR -> OL -> C -> C -> OL -> SR -> OL -> SR -> C -> OL -> OX
011,R034,P26548,1,-1,-1,-0.15,-0.15,S000 -> S100 -> S101 -> S102 -> S202 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,OL -> SR -> SR -> OL -> C -> OX -> SR -> OL -> SR -> C -> OL -> OX
011,R035,P26753,31,-1.45,-0.85,-0.65,-0.2,S000 -> S100 -> S101 -> S102 -> S202 -> S212 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OL -> SR -> SR -> OL -> C -> OX -> OX -> SR -> SR -> OL -> C -> OL
011,R036,P26755,2,-1.05,-1,-0.2,-0.2,S000 -> S100 -> S101 -> S102 -> S202 -> S212 -> S322 -> S432 -> S433 -> S434 -> S534 -> S644,OL -> SR -> SR -> OL -> C -> OX -> OX -> SR -> SR -> OL -> OX
011,R037,P27404,38,-1.05,-0.7,-0.65,-0.2,S000 -> S100 -> S101 -> S102 -> S202 -> S312 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OL -> SR -> SR -> OL -> OX -> C -> OX -> SR -> SR -> OL -> C -> OL
011,R038,P27436,42,-0.8,-0.35,-0.65,-0.45,S000 -> S100 -> S101 -> S102 -> S202 -> S312 -> S422 -> S423 -> S424 -> S434 -> S534 -> S544 -> S644,OL -> SR -> SR -> OL -> OX -> OX -> SR -> SR -> C -> OL -> C -> OL
011,R039,P30311,47,-2,-1.15,-0.75,-0.25,S000 -> S100 -> S101 -> S111 -> S211 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S544 -> S644,OL -> SR -> C -> OL -> SR -> OX -> SR -> OL -> SR -> C -> OL -> C -> OL
