sequence_id,sequence,state_path
43,OOXCXCO,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
44,OOXCXOC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
45,OOXOCCX,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
46,OOXOCXC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
47,OOXOXCC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
48,OOXXCCO,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 0, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
49,OOXXCOC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 0, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
50,OOXXOCC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 0, 2) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
51,OXCOCOX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
52,OXCOCXO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
53,OXCOOCX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
54,OXCOOXC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
55,OXCOXCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
56,OXCOXOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
57,OXCXOCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(1, 1, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
58,OXCXOOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 1, 1) -> S(1, 1, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
59,OXOCCOX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
60,OXOCCXO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
61,OXOCOCX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
62,OXOCOXC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
63,OXOCXCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
64,OXOCXOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
65,OXOOCCX,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
66,OXOOCXC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
67,OXOOXCC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
